S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2018-09-04,490.0,490.0,490.0,490.0,0.0,8000.0,3920000.0
2,2019-01-09,151.0,251.0,101.0,110.0,-77.55,523066.0,58603780.0
3,2019-04-23,564.0,564.0,564.0,564.0,412.73,45000.0,25380000.0
4,2019-05-19,564.0,564.0,564.0,564.0,0.0,11800.0,6655200.0
5,2019-06-23,510.0,510.0,510.0,510.0,-9.57,31172.0,15897720.0
6,2019-06-24,500.0,500.0,500.0,500.0,-1.96,2560.0,1280000.0
7,2019-07-18,490.0,490.0,490.0,490.0,-2.0,105650.0,51768500.0
8,2019-07-21,490.0,490.0,490.0,490.0,0.0,12400.0,6076000.0
9,2019-08-07,481.0,481.0,481.0,481.0,-1.84,10000.0,4810000.0
10,2019-08-08,481.0,481.0,481.0,481.0,0.0,10000.0,4810000.0
11,2019-08-25,481.0,481.0,481.0,481.0,0.0,66800.0,32130800.0
12,2019-08-28,472.0,472.0,472.0,472.0,-1.87,10000.0,4720000.0
13,2019-08-29,470.0,470.0,461.0,470.0,-0.42,22056.0,10186320.0
14,2019-09-01,470.0,470.0,470.0,470.0,0.0,10900.0,5123000.0
15,2019-09-03,470.0,470.0,470.0,470.0,0.0,8435.0,3964450.0
16,2019-09-12,470.0,470.0,470.0,470.0,0.0,31800.0,14946000.0
17,2019-11-12,470.0,470.0,470.0,470.0,0.0,20000.0,9400000.0
18,2020-01-07,470.0,470.0,470.0,470.0,0.0,50.0,23500.0
19,2020-07-08,470.0,470.0,470.0,470.0,0.0,14500.0,6815000.0
20,2020-07-15,470.0,470.0,470.0,470.0,0.0,2970.0,1395900.0
21,2020-09-10,470.0,470.0,470.0,470.0,0.0,100.0,47000.0
22,2020-10-11,613.0,613.0,613.0,613.0,0.0,4495.0,2755435.0
23,2020-11-02,601.0,601.0,570.0,570.0,-7.01,50000.0,28624000.0
24,2020-11-03,570.0,570.0,570.0,570.0,0.0,30000.0,17100000.0
25,2020-11-10,570.0,570.0,570.0,570.0,0.0,10000.0,5700000.0
26,2020-11-12,570.0,570.0,570.0,570.0,0.0,10000.0,5700000.0
27,2020-12-28,570.0,570.0,570.0,570.0,0.0,1500.0,855000.0
28,2020-12-29,570.0,570.0,570.0,570.0,0.0,120050.0,68428500.0
29,2021-03-29,918.0,918.0,918.0,918.0,0.0,9900.0,9088200.0
30,2021-03-30,918.0,918.0,918.0,918.0,0.0,100.0,91800.0
31,2021-06-06,602.0,851.0,602.0,651.0,-29.08,40610.0,24741072.0
32,2021-06-08,601.25,601.75,601.25,601.75,-7.57,50000.0,30075000.0
33,2021-06-24,949.0,949.0,949.0,949.0,-61.11,2440.0,2315560.0
34,2021-07-08,949.0,949.0,949.0,949.0,0.0,12500.0,11862500.0
35,2021-07-11,949.0,949.0,949.0,949.0,0.0,500.0,474500.0
36,2021-11-22,949.0,949.0,949.0,949.0,0.0,3250.0,1995500.0
37,2022-03-24,696.0,696.0,696.0,696.0,0.0,83000.0,57768000.0
38,2024-12-08,526.0,526.0,526.0,526.0,0.0,2500.0,1315000.0
39,2025-07-14,526.0,526.0,526.0,526.0,0.0,244480.0,95652800.0
40,2025-09-21,391.25,391.25,391.25,391.25,0.0,142290.0,55713649.5
41,2025-12-11,391.25,391.25,391.25,391.25,0.0,1000.0,450000.0
42,2026-02-24,390.0,395.0,390.0,395.0,0.96,151612.0,59771740.0
